fr_no;x;y;w;h;cx;cy;cen_dep;dep_avg;orient;group
1052;2;55;168;424;86;267;19;15.498169808759066;84.611145;0
1052;455;257;84;225;497;369;17;16.86837749279024;98.43167;1
1052;524;248;97;234;572;365;10;12.113908563233913;294.44568;1
1053;2;55;106;427;55;268;6;5.469035610505049;284.77792;0
1053;395;258;57;224;423;370;19;18.73298829841306;122.93553;1
1053;443;247;117;235;501;364;11;11.371081534819698;209.7708;1
1053;583;266;26;212;596;372;9;9.479947537783433;275.3919;1
1053;605;248;37;234;623;365;0;4.020100374857105;256.9638;1
1053;572;282;23;182;583;373;9;9.025752501623938;103.52365;2
1054;2;74;93;408;48;278;6;5.560252141258494;20.715433;0
1054;388;260;56;222;416;371;11;13.377625996017587;60.56277;1
1054;441;245;104;234;493;362;10;10.250995960375972;35.18959;1
1054;583;266;26;212;596;372;12;12.539725287181085;86.57743;1
1054;599;252;43;227;620;365;0;4.735207012264165;245.32098;1
1054;566;283;22;182;577;374;15;15.261333499061932;265.53665;2
1055;1;77;87;405;44;279;6;6.075854503385661;23.067997;0
1055;379;259;56;222;407;370;11;12.180748106474928;5.063887;1
1055;427;246;104;234;479;363;10;10.46750559895404;271.19177;1
1055;565;267;26;212;578;373;12;11.664649280808371;74.55559;1
1055;587;252;54;230;614;367;10;6.317360548308924;240.98474;1
1055;553;286;22;182;564;377;15;14.958021974559948;157.94083;2
1056;1;77;51;396;26;275;6;4.736934119958561;80.39469;0
1056;340;256;56;222;368;367;20;19.181437610179998;27.68589;1
1056;386;254;104;228;438;368;11;10.804750459229796;299.07657;1
1056;526;266;26;212;539;372;11;12.327175604064529;93.26808;1
1056;541;257;54;225;568;369;13;13.79162144449859;70.56069;1
1056;598;276;37;206;616;379;10;6.072136671716863;238.33894;2
1056;508;284;22;182;519;375;10;9.881499612383587;85.75524;2
1057;318;260;55;221;345;370;21;17.340425929588537;319.98907;1
1057;363;250;102;232;414;366;10;10.605955876249029;52.40032;1
1057;493;273;29;208;507;377;16;13.899168511300394;275.346;1
1057;513;257;53;225;539;369;10;11.63861591268558;28.961912;1
1057;563;280;34;202;580;381;10;9.950542229470503;55.64255;2
1057;479;289;22;182;490;380;11;10.307266577403617;262.03577;2
1058;309;261;54;220;336;371;12;13.456476429444994;47.63074;1
1058;352;251;102;231;403;366;10;10.524131076517728;335.90002;1
1058;485;272;28;208;499;376;13;13.307275323132563;133.24791;1
1058;505;255;50;218;530;364;10;10.309961034877933;65.088165;1
1058;558;280;34;202;575;381;10;11.646873300418628;74.99626;2
1058;470;286;22;182;481;377;17;15.533810517138718;271.69736;2
1059;299;262;54;220;326;372;12;13.693037326017544;57.562405;1
1059;352;251;90;228;397;365;10;10.444990459923545;336.85574;1
1059;480;270;28;208;494;374;13;12.46733441204724;135.72733;1
1059;496;257;50;218;521;366;10;10.265147452181246;77.78687;1
1059;547;278;36;188;565;372;14;12.028066428812838;70.92879;2
1059;463;286;22;182;474;377;17;14.367537108925912;351.54355;2
1059;619;312;23;133;630;378;0;1.288289790504732;310.34518;3
1060;265;261;54;220;292;371;21;18.763365134386646;295.89294;1
1060;313;255;90;227;358;368;11;11.002769159896976;18.722408;1
1060;443;273;28;208;457;377;17;12.54391800807274;265.5223;1
1060;462;261;50;218;487;370;11;11.982236577514675;108.3144;1
1060;505;282;36;188;523;376;10;10.040272104530919;72.561;2
1060;426;289;22;182;437;380;10;10.113473049401971;260.2671;2
1060;574;316;34;135;591;383;14;15.079611488523048;69.03683;3
