fr_no;x;y;w;h;cx;cy;cen_dep;dep_avg;orient;group
1053;510;245;127;239;318;242;17.0;16.95;315.6;1
1053;510;245;127;239;318;242;17.0;16.95;315.6;1
1053;510;245;127;239;318;242;17.0;16.95;315.6;1
1054;563;250;77;227;320;238;19.0;18.13;225.86;1
1054;563;250;77;227;320;238;19.0;18.13;225.86;1
1054;563;250;77;227;320;238;19.0;18.13;225.86;2
1055;386;261;72;218;229;239;17.0;16.77;62.25;1
1055;386;261;72;218;229;239;17.0;16.77;62.25;1
1056;546;249;93;230;319;239;19.0;18.59;345.41;1
1056;546;249;93;230;319;239;19.0;18.59;345.41;2
1057;339;261;63;215;201;238;17.0;16.5;298.54;1
1057;339;261;63;215;201;238;17.0;16.5;298.54;1
1058;359;253;111;227;235;240;19.0;17.96;343.38;1
1059;347;253;117;226;232;239;19.0;18.09;336.48;1
1060;454;251;103;230;278;240;22.0;19.62;108.31;1
1060;454;251;103;230;278;240;22.0;19.62;108.31;2
1061;498;285;73;194;285;239;20.0;19.89;261.7;3
1062;467;296;77;183;272;239;20.0;20.09;206.48;2
1063;459;298;71;178;265;238;20.0;19.97;251.05;2
1063;459;298;71;178;265;238;20.0;19.97;251.05;3
1064;438;292;69;186;253;239;20.0;19.88;263.93;2
1064;438;292;69;186;253;239;20.0;19.88;263.93;3
1064;438;292;69;186;253;239;20.0;19.88;263.93;8
1065;419;299;73;180;246;239;21.0;20.33;246.82;2
1065;419;299;73;180;246;239;21.0;20.33;246.82;8
1066;413;295;65;182;239;238;20.0;20.37;259.39;2
1066;413;295;65;182;239;238;20.0;20.37;259.39;8
1067;398;296;76;184;237;240;21.0;20.35;284.01;2
1067;398;296;76;184;237;240;21.0;20.35;284.01;3
1067;398;296;76;184;237;240;21.0;20.35;284.01;8
1068;375;300;70;180;222;240;21.0;20.22;278.79;3
1068;375;300;70;180;222;240;21.0;20.22;278.79;3
1068;375;300;70;180;222;240;21.0;20.22;278.79;8
1069;336;291;67;188;201;239;23.0;20.91;288.49;2
1069;336;291;67;188;201;239;23.0;20.91;288.49;8
1070;328;297;68;181;198;239;24.0;21.21;256.84;2
1070;328;297;68;181;198;239;24.0;21.21;256.84;8
1071;321;300;63;177;192;238;23.0;20.84;277.65;3
